ID,Location,Direction,TimeStart,LaneStart,IniSpeed,Length,Width,Is_truck,MaxSpeed,MaxAcceleration
1,2,2,8.63334,5,40.85,4.85,2.12,0,41.3,0.36
2,2,1,8.63334,2,32.04,4.24,1.92,0,32.9,0.26
3,2,1,8.63334,3,42.72,5.05,2.22,0,42.83,0.1
4,2,2,8.63334,6,23.27,11.82,2.5,1,23.4,0.05
5,2,1,8.63336,2,38.53,5.66,2.02,0,39.24,0.69
6,2,2,8.63532,6,35.95,5.26,2.12,0,36.79,0.2
7,2,1,8.63701,3,31.32,5.26,2.32,0,31.58,0.17
8,2,2,8.63713,5,37.92,4.65,1.92,0,41.22,0.53
9,2,2,8.64394,5,39.19,4.75,1.92,0,40.47,0.25
10,2,2,8.64524,6,27.3,5.96,2.32,0,27.86,0.1
11,2,2,8.64827,6,29.44,4.95,2.12,0,30.2,0.08
12,2,1,8.65884,3,37.73,4.75,1.92,0,37.65,0.07
13,2,2,8.66136,6,22.89,7.68,2.5,1,23.89,0.1
14,2,2,8.66198,5,37.84,4.75,1.92,0,40.61,0.34
15,2,1,8.66901,3,33.35,4.75,2.12,0,33.79,0.12
16,2,2,8.6747,5,36.38,4.75,2.02,0,43.46,0.78
17,2,1,8.68307,3,30.58,4.65,1.82,0,35.69,0.48
18,2,2,8.68729,5,38.75,4.95,2.02,0,40.07,0.14
19,2,2,8.69033,5,32.51,4.75,1.82,0,32.51,0.04
20,2,2,8.69041,6,23.65,16.47,2.5,1,24.71,0.17
21,2,2,8.69373,5,39.23,4.04,1.92,0,40.59,0.33
22,2,2,8.69673,5,31.72,4.85,2.02,0,31.72,0.04
23,2,1,8.70823,3,34.71,4.45,2.02,0,34.92,0.09
24,2,2,8.71352,6,22.69,16.88,2.5,1,23.83,0.2
25,2,1,8.71962,3,33.63,3.94,1.92,0,33.72,0.08
26,2,2,8.72004,5,33.76,3.54,1.72,0,34.44,0.23
27,2,2,8.72856,6,23.51,9.5,2.5,1,24.39,0.11
28,2,2,8.73547,5,36.94,4.85,2.02,0,38.88,0.27
29,2,1,8.7386,3,39.95,4.45,2.02,0,41.57,0.47
30,2,2,8.74008,6,24.99,10.11,2.43,0,25.72,0.1
31,2,2,8.74514,5,31.23,4.04,1.92,0,34.58,0.54
32,2,1,8.74887,2,36.47,4.75,1.92,0,36.53,0.1
33,2,1,8.74923,3,39.75,4.55,1.92,0,41.66,0.7
34,2,2,8.75172,6,24.33,16.88,2.5,1,25.21,0.16
35,2,1,8.7584,2,33.8,3.94,1.82,0,36.59,0.29
36,2,1,8.76164,2,24.2,13.04,2.5,1,24.2,0.07
37,2,1,8.76233,3,36.88,4.45,1.92,0,36.88,0.13
38,2,2,8.7637,5,35.99,4.95,1.87,0,37.98,0.57
39,2,1,8.76764,3,34.73,4.14,2.02,0,36.78,0.46
40,2,2,8.77001,5,40.88,5.05,2.02,0,42.02,0.2
41,2,2,8.77983,5,37.29,2.63,1.72,0,37.01,0.11
42,2,1,8.78722,3,40.49,4.95,2.22,0,39.22,0.25
43,2,2,8.78962,5,44.19,5.05,2.12,0,45.94,0.55
44,2,1,8.79143,3,36,4.04,1.82,0,36.34,0.14
45,2,2,8.80228,6,40.41,5.15,2.02,0,41.12,0.24
46,2,1,8.80426,3,41.28,4.85,2.02,0,46.72,0.76
47,2,2,8.80434,5,32.78,3.74,1.82,0,33.9,0.2
48,2,2,8.80658,5,26.22,4.45,1.92,0,27.33,0.13
49,2,2,8.81692,6,34.16,4.24,1.82,0,37.15,0.67
50,2,2,8.81713,5,39.4,4.85,2.02,0,41.99,0.55
51,2,2,8.82107,5,34.82,4.55,1.92,0,36.2,0.25
52,2,2,8.82667,5,29.35,4.35,2.02,0,30.56,0.19
53,2,1,8.8297,3,35,4.75,2.02,0,38.06,0.47
54,2,1,8.83274,3,40.35,4.75,2.02,0,44.07,0.7
55,2,2,8.84611,6,25.27,4.55,1.92,0,25.05,0.01
56,2,2,8.84761,6,33.74,4.65,1.92,0,34.87,0.18
57,2,1,8.849,3,32.53,3.94,1.82,0,32.8,0.1
58,2,1,8.85271,3,41.6,4.04,1.82,0,41.59,0.03
59,2,1,8.85713,3,37.52,4.35,2.02,0,37.87,0.26
60,2,2,8.85959,6,26.25,6.37,2.53,0,26.75,0.08
61,2,2,8.86287,6,22.49,11.82,2.5,1,23.49,0.13
62,2,2,8.8663,5,33.44,4.55,1.92,0,34.44,0.16
63,2,1,8.86671,3,38.95,4.65,2.22,0,39.1,0.09
64,2,1,8.87256,3,42.66,4.55,1.82,0,46.33,0.65
65,2,2,8.87849,5,32.47,4.55,1.92,0,33.67,0.33
66,2,2,9.06668,5,41.68,4.14,1.82,0,42.62,0.32
67,2,1,9.06668,2,23.86,14.45,2.5,1,23.97,0.11
68,2,1,9.06668,3,36.25,4.85,2.02,0,36.38,0.13
69,2,2,9.06752,5,46.54,5.05,2.02,0,51.57,0.72
70,2,2,9.07256,5,34.65,4.85,2.02,0,42.17,1.13
71,2,1,9.08529,3,34.26,4.24,2.68,0,34.27,0.02
72,2,2,9.08722,5,40.43,4.95,2.22,0,40.43,0.07
73,2,1,9.09251,2,22.91,12.23,2.5,1,22.99,0.01
74,2,2,9.093,6,22.34,8.89,2.5,1,23.71,0.12
75,2,1,9.09347,3,25.61,4.75,2.12,0,26.08,0.47
76,2,2,9.09481,5,57.85,4.75,2.02,0,62.93,0.86
77,2,2,9.09614,5,45.89,4.85,2.12,0,48.94,0.41
78,2,2,9.1025,5,34.09,5.46,2.12,0,36.79,0.33
79,2,2,9.10751,5,37.81,4.85,2.12,0,39.51,0.3
80,2,2,9.11221,5,41.81,4.65,1.92,0,43.2,0.25
81,2,1,9.11224,3,37.74,5.86,2.53,0,39.68,0.23
82,2,2,9.11391,5,33.63,6.87,2.5,1,34.1,0.09
83,2,1,9.11538,3,32.65,4.24,1.82,0,34.06,0.27
84,2,2,9.1209,5,42.86,4.14,1.82,0,44.75,0.27
85,2,2,9.12752,5,38.93,5.26,2.22,0,39.53,0.29
86,2,2,9.13139,6,23.3,12.83,2.5,1,24.31,0.08
87,2,2,9.13488,5,32.24,4.65,2.12,0,33.88,0.25
88,2,2,9.14182,6,36.11,4.35,1.92,0,37.13,0.23
89,2,2,9.14464,5,40.47,5.15,2.12,0,41.82,0.21
90,2,2,9.14612,6,26.18,4.85,2.22,0,31.27,0.74
91,2,2,9.1477,5,36.08,4.35,1.92,0,37.3,0.4
92,2,2,9.15179,6,22.78,11.93,2.5,1,23.39,0.07
93,2,2,9.15361,6,32.72,4.65,1.92,0,33.08,0.06
94,2,2,9.15893,5,35.87,4.24,1.82,0,38.65,0.52
95,2,1,9.15914,2,32,4.35,2.02,0,32.34,0.19
96,2,2,9.15919,5,35.86,4.85,1.92,0,42.07,0.65
97,2,1,9.15933,3,33.51,3.94,1.82,0,36.51,0.32
98,2,2,9.16746,5,37.41,4.95,2.02,0,38.72,0.25
99,2,2,9.17391,5,44.32,4.95,2.02,0,45.13,0.21
100,2,1,9.17406,3,32.07,6.37,2.63,0,35.52,0.34
101,2,2,9.18116,6,33.86,4.14,1.92,0,34.19,0.08
102,2,2,9.18421,5,33.79,4.65,1.92,0,33.95,0.06
103,2,2,9.18991,5,31.57,4.04,1.82,0,33,0.18
104,2,2,9.19039,6,24.31,14.86,2.5,1,25.04,0.13
105,2,2,9.20252,5,36.77,3.64,1.72,0,38.98,0.26
106,2,2,9.20914,5,36.26,4.95,2.12,0,36.86,0.15
107,2,1,9.2156,3,31.11,4.45,1.92,0,30.95,0.02
108,2,2,9.21717,5,33.98,4.35,1.92,0,34.18,0.07
109,2,2,9.22001,5,29.81,8.99,2.12,0,30.47,0.09
110,2,2,9.22202,6,23.71,16.88,2.5,1,24.89,0.12
111,2,1,9.22233,2,35.14,5.76,2.43,0,35.45,0.1
112,2,1,9.22329,3,37.87,4.45,2.02,0,38.79,0.27
113,2,2,9.22381,5,40.49,4.45,1.92,0,41.45,0.26
114,2,2,9.22768,5,37.71,4.75,2.02,0,37.89,0.07
115,2,1,9.23133,3,28.52,6.57,2.5,1,28.56,0.03
116,2,2,9.23683,6,36.04,3.74,1.92,0,36.78,0.09
117,2,2,9.2385,5,36.44,4.24,1.92,0,36.44,0.02
118,2,1,9.23932,2,24.16,16.78,2.5,1,24.18,0.13
119,2,2,9.23952,5,42.52,4.45,1.92,0,44.09,0.37
120,2,2,9.24332,5,35.49,4.85,2.02,0,38.45,0.49
121,2,2,9.24953,5,36.22,4.65,2.02,0,37.02,0.17
122,2,1,9.25808,3,41.17,4.65,1.92,0,43.03,0.46
123,2,2,9.26209,5,30.12,5.05,2.02,0,30.68,0.11
124,2,2,9.26738,6,36.24,4.75,1.92,0,38.47,0.28
125,2,1,9.26866,2,31.15,5.56,2.63,0,31.42,0.07
126,2,1,9.26923,3,40.2,4.55,1.92,0,40.39,0.15
127,2,1,9.27359,3,33.03,6.06,2.73,0,34.47,0.35
128,2,2,9.27543,5,34.37,4.85,2.02,0,35.98,0.22
129,2,1,9.28203,3,28.15,5.05,2.22,0,28.67,0.17
130,2,2,9.28247,6,28.35,4.5,1.82,0,28.7,0.09
131,2,2,9.28676,5,35.15,4.75,1.92,0,36.15,0.34
132,2,2,9.28829,5,42.87,4.45,1.92,0,46.42,0.55
133,2,1,9.28979,2,27.26,4.95,2.22,0,27.5,0.08
134,2,1,9.29009,3,43.83,4.35,2.02,0,43.85,0.04
135,2,2,9.29189,6,23.51,16.67,2.5,1,24.07,0.05
136,2,2,9.29334,5,36.56,4.85,2.02,0,39.04,0.38
137,2,1,9.29994,3,24.77,4.45,1.92,0,26.78,0.54
138,2,1,9.30857,3,30.07,3.94,1.82,0,30.07,0.09
139,2,2,9.31154,6,22.89,16.78,2.5,1,23.42,0.08
140,2,2,9.31218,6,27.06,4.04,1.92,0,29.04,0.26
141,2,2,9.31584,5,34.9,4.24,1.92,0,34.7,0.06
142,2,2,9.3266,5,36.64,4.95,2.02,0,38.95,0.31
143,2,2,9.32973,5,34.8,4.24,1.82,0,36.05,0.17
144,2,2,9.33216,5,30.81,4.45,1.92,0,33.57,0.3
145,2,1,9.3346,3,36.7,7.07,2.43,0,36.98,0.14
146,2,2,9.33517,5,27.64,4.75,2.02,0,29.74,0.25
147,2,1,9.3382,3,31.27,4.04,1.92,0,28.7,0.22
148,2,1,9.90001,3,36.78,4.45,2.32,0,37.57,0.46
149,2,2,9.90001,5,31.91,4.24,1.92,0,33.01,0.31
150,2,2,9.90001,6,28.12,4.75,1.92,0,29.43,0.55
151,2,1,9.90002,2,32.95,6.67,2.43,0,32.95,0.08
152,2,2,9.90207,5,33.89,4.04,1.82,0,34.58,0.11
153,2,1,9.90548,3,44.75,4.75,2.12,0,44.83,0.01
154,2,1,9.9074,3,41.7,4.75,2.02,0,42.49,0.13
155,2,1,9.91011,2,35.17,6.87,2.5,1,35.02,0.06
156,2,2,9.91087,5,41.96,5.05,2.12,0,43.43,0.28
157,2,2,9.91228,6,39.54,4.75,2.02,0,40.04,0.2
158,2,1,9.91606,3,37.12,4.24,1.92,0,37.07,0.02
159,2,2,9.91653,5,33.78,4.04,1.92,0,35.67,0.3
160,2,2,9.92218,6,31.56,3.64,1.82,0,33.05,0.17
161,2,2,9.92888,5,29.69,4.35,2.02,0,32.08,0.42
162,2,2,9.93354,6,22.54,16.78,2.5,1,23.54,0.11
163,2,1,9.93387,3,48.59,4.9,2.22,0,48.59,-0.1
164,2,2,9.93661,5,32.25,4.85,2.12,0,33.43,0.23
165,2,1,9.9383,2,33.21,4.19,1.82,0,33.18,-0.09
